"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"657","HUMS073","Uncertainty in Medicine Viewed through the Humanities","<p>A survey that explores the rich conversation of science and humanistic study in experiences of uncertainty in medical practice. Professional relationships between doctor and patient examined through history, sociology, anthropology, literature, music and visual arts, and medical reflections. &#160;</p><p>Enrollment limited to freshmen. Preregistration required; see under Freshman Seminar Program.</p>","LITR087",NA,NA,NA,NA,NA,NA,NA,NA,"rich humanistic experiences uncertainty medical practice professional doctor patient sociology anthropology arts limited freshmen freshman seminar program  enrollment"
"658","HUMS151","Shakespeare and the Canon: Tragedies and Romances","<p>A reading of Shakespeare's tragedies and romances, with an emphasis on their originality in regard to tradition and their influence on Western representation since the seventeenth century. Secondary readings included.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shakespeares tragedies romances emphasis originality regard tradition western seventeenth secondary"
"659","HUMS153","Poetic Influence from Tennyson and Whitman to the Present","<p>The complexities of poetic influence in the tradition of the English language, from Tennyson and Whitman to the present.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexities poetic tradition english language tennyson whitman present"
"660","HUMS163","The House and the Writer's Life","<p>The study of seven American writers' houses from the mid-nineteenth century to today. Authors include Stowe, Twain, James, Wharton, Stein, Merrill, and Ashbery. Focus is on the creation of the house, including issues of location, architecture, and design and on the literary works that emerged during each writer's process of setting up the house. Trips to local houses and museums.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seven american writers houses midnineteenth authors stowe twain wharton stein merrill ashbery focus house including design literary works emerged setting trips museums"
"661","HUMS300","Oratory in Statecraft","<p>A seminar and practicum in oratory, the first tool of leadership. A study of oratory as it provides direction, builds support, and drives action on a strategic agenda. Analysis of speeches in antiquity, the early modern era, and the unique American voice: Edwards to Lincoln to King.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seminar practicum oratory first leadership builds drives strategic agenda speeches modern era unique american edwards lincoln king"
"662","HUMS316","World Order in Liberal Arts","<p>International peace and security as humanity's primary philosophical problem, reflected in works beyond policy methodologies. Confucius to the Elizabethan ""world picture,"" to Kant, Grass, Calasso, Wittgenstein, and Samuel Beckett. Early writings of Kissinger and his diplomatic papers now at the Yale University Library provide modern case studies.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"international peace security humanitys problem reflected works beyond policy confucius elizabethan world picture kant grass calasso wittgenstein samuel beckett writings kissinger diplomatic now yale modern"
"663","HUMS353","The World of Augustine's <i>Confessions</i>","<p>A close study of the <em>Confessions</em> of Augustine. Additional readings by Vergil, Cicero, Paul, Plotinus, Tertullian, and Apuleius place Augustine’s work in the intellectual context of the waning of the Roman empire and the rise of Christianity.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA," augustine additional vergil cicero paul plotinus tertullian apuleius place augustines work context waning empire christianity"
"664","HUMS411","Life Worth Living","<p>Comparative exploration of the shape of the life advocated by several of the world's normative traditions, both religious and nonreligious. Concrete instantiations of these traditions explored through contemporary exemplars drawn from outside the professional religious or philosophical spheres. Readings from the founding texts of Buddhism, Judaism, Christianity, Islam, Marxism, and utilitarianism.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"comparative exploration life advocated worlds traditions nonreligious concrete instantiations explored contemporary exemplars professional spheres founding texts judaism christianity marxism utilitarianism"
"665","HUMS444","The City of Rome","<p>An interdisciplinary study of Rome from its legendary origins through its evolving presence at the crossroads of Europe and the world. Exploration of the city's rich interweaving of history, theology, literature, philosophy, and the arts in significant moments of Roman and world history.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"legendary origins evolving presence crossroads europe world exploration citys rich interweaving theology philosophy arts significant moments"
"668","HUMS140","The Hero in the Ancient Near East","<p>Exploration of the interaction of religion, history, and literature in the ancient Near East through study of its heroes, including comparison with heroes, heroic narratives, and hero cults in the Bible and from classical Greece.</p>","NELC121",NA,NA,NA,NA,NA,NA,NA,NA,"exploration interaction near east heroes including comparison heroic narratives hero cults greece"
"669","HUMS438","Origins of Western Civilization: The Near East from Alexander to Muhammad","<p>Cultural and historical survey of Hellenistic, eastern Roman, Parthian, Byzantine, and Sassanian empires in the Near East. Emphasis on mutual influences of Near Eastern and classical worlds, the rise of Christianity and Islam in Near Eastern contexts, and the division of East and West between conflicting ideas of unity.</p>
","NELC101",NA,NA,NA,NA,NA,NA,NA,NA,"cultural historical hellenistic eastern parthian byzantine sassanian empires near east emphasis mutual influences worlds christianity contexts division west conflicting ideas unity"
